Name,Rating,Review_Text,sentiment
Hotel Mannat international by Mannat,9.0,"Personals are good and help you if needed.
Not a lot of noise in our room.
AC working.",positif
Hotel Mannat international by Mannat,7.0,Everything there was excellent.,positif
Hotel Mannat international by Mannat,8.0,"Very friendly and helpful staff, good value for money",positif
Hotel Mannat international by Mannat,9.0,The place was 10 minutes walking from metro station. The staff was great. Breakfast was for room service and its okay. The district seems dangerous but it was not a problem after the first day :) Kfc and Dominos is near. Best A/C that I saw in India.,positif
Hotel Mannat international by Mannat,8.0,Osm,netral
Hotel Mannat international by Mannat,8.0,"Beds are confortable, price quality is good. Clean space, food was good. Big room.",positif
Hotel Mannat international by Mannat,9.0,Helpful travel desk at reception!,netral
Hotel Mannat international by Mannat,8.0,"There is confusion regarding the location of the hotel when one searches on Google Maps. But, the actual location of the hotel is well connected to the road. So, please make sure to identify the right location before checking-in. :D",positif
Hotel Mannat international by Mannat,9.0,Very helpful and friendly staff. Spacious and clean rooms. 24 hour check in so checked in at 7am!,positif
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",10.0,"The hotel is close to many touristic places; the hotel team is amazing, they are really helpfull and specially Shikha, who is always with a smile in her face and ready to help you to know more about India and dishes.",positif
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",9.0,Excellent breakfast. Location is good.,positif
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",7.0, · Parking and room both are not good,negatif
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",8.0,Breakfast was of a very high quality with a lot to choose from. Thoroughly enjo6,positif
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",9.0,Comfort,netral
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",9.0,Good,positif
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",9.0,Please provide more Intercontinental Breakfast,positif
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",8.0,We didn’t have breakfast,netral
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",7.0,Ok,positif
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",8.0,Nice hotel.,positif
"Airport Hotel Grand, New Delhi",10.0,The hotel staff is very helpful and courteous - they are always available to help answer. Rooms were hygienic and clean. The staff was very professional.,positif
"Airport Hotel Grand, New Delhi",9.0,Hotel has for me a good value for money. Staff was friendly and competent. Room are spacious enough and every days they clean the room..,positif
"Airport Hotel Grand, New Delhi",9.0,"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service..",positif
"Airport Hotel Grand, New Delhi",9.0,"The comfort of the bed and the cleanliness of the room made my stay truly enjoyable. The professionalism and helpfulness of the staff were remarkable, and their efficiency was impressive. The breakfast was a highlight, truly amazing..",positif
"Airport Hotel Grand, New Delhi",9.0,"The staff's exceptional training and friendly demeanor were evident. The hotel's cleanliness was remarkable. The food was excellent, and the quick room service was truly appreciated. The spacious clean room size made my stay comfortable and enjoyable..",positif
"Airport Hotel Grand, New Delhi",9.0,#NAME?,netral
"Airport Hotel Grand, New Delhi",7.0,Closeness to the airport,netral
"Airport Hotel Grand, New Delhi",9.0,We had a fabulous staying in airport grand hotel .. it was a nice experience the room was very good the hotel provided all the necessary facilities the staff was helping and warm the food was yummy overall it was a pleasure to stay here..,positif
"Airport Hotel Grand, New Delhi",9.0,The room and washroom were very clean. the linen was and clean without any spots. breakfast spread was tasty and well cooked.. The staff was extra helpful... hotel was excellent in service... i really liked the place. would love to stay again..,positif
"Airport Hotel Grand, New Delhi",9.0,"Very friendly staff, good location, super clean, awesome food, everything was spot on n' upto my expectations. will visit the same hotel soon and recommend to all..",positif
Novotel New Delhi Aerocity- International Airport,10.0,Ankit - assistant manager was awesome. foodit shell at breakfast buffet,positif
Novotel New Delhi Aerocity- International Airport,7.0,The music from the bar was very very very loud. I couldn't here the man that was booking me in at the arrival desk... so ridiculous... it's a hotel for usually tired travellers and to be greeted by this horrible noise felt like an assault. They eventually turned it down after many requests. Was by just me ... others waiting also hated the noise.,negatif
Novotel New Delhi Aerocity- International Airport,9.0,"Clean rooms, polite and hospitable staff",positif
Novotel New Delhi Aerocity- International Airport,9.0,It is a luxurious hotel in very convenient location for air travellers. The hotel room was very comfortable with all essential amenities. The buffet breakfast was sumptuous. Staff are friendly and helpful.,positif
Novotel New Delhi Aerocity- International Airport,9.0,Nice location,positif
Novotel New Delhi Aerocity- International Airport,7.0,"Location, swimming pool,",netral
Novotel New Delhi Aerocity- International Airport,7.0,"The breakfast was very elaborate and excellent!!
The only thing I liked most at the hotel was it’s breakfast menu.",positif
Novotel New Delhi Aerocity- International Airport,8.0,"As mentioned in my previous review and the reasons I keep on returning to this property is best value for money compared to any other hotel in aero city,a cluster of hotels including international chain of hotels located 10-15 mins from New Delhi domestic and international terminal. Novotel in my opinion offers everything that other hotels do ,but at best best price as I have had stays in other hotels of aero city as well .
Also the staff is very polite,smiling and helpful.
Foods of different ethnicity are available especially the variety and taste of Indian food is great. The rooms are quite comfortable beds to sleep in . Transfer to airport is also offered on payment mostly unless may be part of booking package.
I plan a return to delhi in 2 days and will stay again with them.",positif
Novotel New Delhi Aerocity- International Airport,9.0,"Airport pickup service was flawless, and checkin quick and efficient.  The room was a decent size, and comfortable.",positif
Novotel New Delhi Aerocity- International Airport,7.0, · The wifi went out for a few hours in the evening. Not acceptable for a hotel of this caliber.,negatif
FabHotel Majestic JPM I,10.0,· it was clean room and staff was good,positif
FabHotel Majestic JPM I,9.0,View and cleanliness and good location,positif
FabHotel Majestic JPM I,9.0,the properly was clean and comfortable at good location,positif
FabHotel Majestic JPM I,9.0,The staff was very friendly,positif
FabHotel Majestic JPM I,9.0,The property is perfectly located at a secluded place,positif
FabHotel Majestic JPM I,9.0,breakfast was good and tasty very good,positif
FabHotel Majestic JPM I,9.0,"Nice location, staffs are good in behaviour .",positif
FabHotel Majestic JPM I,7.0, · The music played till 12.30pm during the second night .....,netral
FabHotel Majestic JPM I,8.0,Everything,netral
FabHotel Majestic JPM I,8.0,Food quality good,positif
Airport Hotel Clayton,10.0,"Friendly staff,cleanliness,ambience, strict adherence to covid appropriate behavior.",positif
Airport Hotel Clayton,9.0,Nice,positif
Airport Hotel Clayton,8.0,Nice,positif
Airport Hotel Clayton,8.0,Supporting staff,positif
Airport Hotel Clayton,7.0,Near ti Air port,positif
Airport Hotel Clayton,9.0,Excellent staff and management,positif
Airport Hotel Clayton,9.0,Staff were friendly,positif
Airport Hotel Clayton,9.0,Staff were friendly and wanted to help as much as they could.,positif
Airport Hotel Clayton,9.0,Very good customer service 👍,positif
Airport Hotel Clayton,9.0,Very good customer service 👍,positif
Trimrooms Shipra @ New Delhi Railway Station,10.0,good hotel in paharganj new delhi close to NDLS railway station.,positif
Trimrooms Shipra @ New Delhi Railway Station,8.0,Good natured manager and staffs,positif
Trimrooms Shipra @ New Delhi Railway Station,9.0,I like the response of the hotel staff . Very kind and quick and helpful .,positif
Trimrooms Shipra @ New Delhi Railway Station,9.0,"Near to New Delhi station. Nice, friendly and flexible staff. Value for money.",positif
Trimrooms Shipra @ New Delhi Railway Station,8.0,"AC, welcoming, payment, kindness, location",netral
Trimrooms Shipra @ New Delhi Railway Station,1.0,Nothing.,netral
Trimrooms Shipra @ New Delhi Railway Station,4.0,Location was center of city,negatif
Trimrooms Shipra @ New Delhi Railway Station,10.0,The staff was good and also was in a prime location. The Wi-Fi was good too.,positif
Trimrooms Shipra @ New Delhi Railway Station,10.0,Great service and helpful staff,positif
Trimrooms Shipra @ New Delhi Railway Station,10.0,Nice location good food neat nd clean room near to railway station centre of Delhi so all monoment are very close to hotel,positif
"Holiday Inn New Delhi International Airport, an IHG Hotel",10.0,"This booking was made on behalf of my daughter after she found herself without passport or any credit cards or debit cards and little cash. A long story. 
I made the booking from the uk and after a few emails and speaking to the extremely helpful duty manager.    
We were able to find a solution to my daughters predicament and get her checked in. 
As a parent I cannot express my gratitude to the staff at the holiday inn. 
Her stay has been comfortable. 
My mind is at peace knowing that she is safe and in good hands. 
Thank you so much",positif
"Holiday Inn New Delhi International Airport, an IHG Hotel",8.0,"The hotel was very clean, the room was nice, they let us have the room earlier than check-in time.",positif
"Holiday Inn New Delhi International Airport, an IHG Hotel",7.0," · The ac in room was not setting properly, l requested someone from help desk to have a look but no one came to fix.",netral
"Holiday Inn New Delhi International Airport, an IHG Hotel",7.0,Close to airport.,netral
"Holiday Inn New Delhi International Airport, an IHG Hotel",9.0,Security guard has misbehaved with us he is thinking that he is the owner of that hotel very poor condition,negatif
"Holiday Inn New Delhi International Airport, an IHG Hotel",8.0,Location is just perfect for travelers to catch international flights.,positif
"Holiday Inn New Delhi International Airport, an IHG Hotel",9.0,Excellent,positif
"Holiday Inn New Delhi International Airport, an IHG Hotel",9.0,Overall experience ok,positif
"Holiday Inn New Delhi International Airport, an IHG Hotel",8.0,the location,netral
"Holiday Inn New Delhi International Airport, an IHG Hotel",8.0,"distance to taj, value for money, clean and would defintiely stay here again.",positif
Hotel Amar International,10.0,"Staff is very cooperative, room are very clean. Overall very good stay.",positif
Hotel Amar International,6.0,"experience was good,",positif
Hotel Amar International,6.0,Best hotel in budget,positif
Hotel Amar International,7.0,Staff and particularly the reception staff was polite and good. My late check in was done comfortable by night staff.,positif
Hotel Amar International,8.0,"Center location for rest of destinations 
Very calm place AC rooms full WIFi faciality 
Me. Promod the manager  was very helpful",positif
Hotel Amar International,8.0,Room,netral
Hotel Amar International,7.0,Staff behaviour.,netral
Hotel Amar International,8.0,"Easily accessible
Smooth check in process
Hotel staff was very courteous",positif
Hotel Amar International,7.0,All over all good,positif
Hotel Amar International,6.0,The staff was really kind and let us to put our bags in the hotel after checking out and the location of the placecwas very good and close to railway station and attractions.,positif
Hotel Hill Palace,1.0,Leaving the hotel,netral
Hotel Hill Palace,7.0,The staff are good,positif
Hotel Hill Palace,6.0, no comments available for this review,positif
Hotel Hill Palace,5.0, no comments available for this review,positif
Hotel Hill Palace,8.0, no comments available for this review,positif
Itsy By Treebo - Connaught Mews,10.0,Excellent value in a great location.,positif
Itsy By Treebo - Connaught Mews,7.0,Location. Very near the Connaught Place.,positif
Itsy By Treebo - Connaught Mews,7.0,The location is very good. It’s just a few minutes from Connaught Place which is the centre. The wifi is good and the people are friendly.,positif
Itsy By Treebo - Connaught Mews,7.0,"Location was excellent, room also quite ok.",positif
Itsy By Treebo - Connaught Mews,7.0,"staff was good.
Location is very close to the VFS",positif
Itsy By Treebo - Connaught Mews,7.0,The staff was friendly and the room was nice,positif
Itsy By Treebo - Connaught Mews,7.0,I was out early,positif
Itsy By Treebo - Connaught Mews,7.0,The room was huge and neatly kept. The washroom could have been a bit better.,positif
Itsy By Treebo - Connaught Mews,8.0,Location of Hotel is excellent and walking distance to the MRT,positif
Itsy By Treebo - Connaught Mews,8.0,"Location, quality of room.",netral
FabHotel Exotica Greenpark,10.0,Comfortably located near Green Park Market,positif
FabHotel Exotica Greenpark,9.0,"Excellent Service, great location, good food.",positif
FabHotel Exotica Greenpark,9.0,Nice and clean property to stay..,positif
FabHotel Exotica Greenpark,7.0,Although room is small but neat and clean,positif
FabHotel Exotica Greenpark,7.0,"It fairly ok. As I stayed for one night, I did not really care what they are providing.",positif
FabHotel Exotica Greenpark,9.0,The stay was very comfortable. Staff members are very nice,positif
FabHotel Exotica Greenpark,9.0,Very good location and near to everything good and healthy breakfast option. Very good food choice nearby,positif
FabHotel Exotica Greenpark,9.0,Comfortable Clean property..,positif
FabHotel Exotica Greenpark,9.0,nice location near green park metro,positif
FabHotel Exotica Greenpark,8.0,Room neet and Clean and nice location,positif
HOTEL GRAND VIKASH,1.0, · I regret taking the stay over there and please do confirm all the information the hotel provides before adding it to the list of hotels to show I had to pay more and was in a situation where I couldn't even switch to another hotel for stay I really want to get refund.,positif
HOTEL GRAND VIKASH,1.0, · It was a disaster. How can such a poor hotel even be listed in booking platforms,negatif
HOTEL GRAND VIKASH,2.0, no comments available for this review,positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,9.0,Location was good. Staffs were good.,positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,9.0,"The cleanliness and Staff behavior during check in and out, and they upgrade my room to Superior Deluxe room to Family suites as complimentary which is really wonderful.",positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,10.0,The room was comfortable and staff was so kind!!,positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,9.0,Everything was good. Clean towels and bed sheets. Ac is good.,positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,9.0,"The managers and staff friendly 
The Room is perfect 
The food is great 
Location is good",positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,8.0,"Friendly and helpful staff , Room size was good and clean room Hotel and bathroom, Nice Hotel for family",positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,9.0,Good place to stay incase you want to for visa purpose  staff is very helpful and always ready to accommodate your reque,positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,10.0,Everything is good in hotel especially the food of the hotel is soo tasty and i loved there fried rice (tosted wok rice) with prawn is soo good  😋. If somebody go in the hotel must try fried rice with prawn.,positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,9.0,Great Wi-Fi  staff friendly and helpful,positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,9.0,Everything ....great value for money,netral
"Four Points by Sheraton New Delhi, Airport Highway",10.0,staff is very friendly and attentive,positif
"Four Points by Sheraton New Delhi, Airport Highway",9.0,Clean and good quality,positif
"Four Points by Sheraton New Delhi, Airport Highway",9.0,"Excellent Location, Friendly staff, Efficient Check in and Check out process, good food",positif
"Four Points by Sheraton New Delhi, Airport Highway",9.0,I had a simple breakfast,netral
"Four Points by Sheraton New Delhi, Airport Highway",7.0,Nearby airport,netral
"Four Points by Sheraton New Delhi, Airport Highway",8.0,ITS GOOD,positif
"Four Points by Sheraton New Delhi, Airport Highway",9.0,location and friendly staff,positif
"Four Points by Sheraton New Delhi, Airport Highway",7.0,"The room was clean, and the bed was very comfortable. As we had a day between flights and  planned to stay at the hotel all day and catch up on a few things, the bar area was comfortable with power sockets for charging devices. A good choice of food for both breakfast and dinner. There is a buffet at 7 pm, but we chose from the menu. The price was reasonable for that level of hotel and was able to provide airport drop-off service. It served its purpose.",positif
"Four Points by Sheraton New Delhi, Airport Highway",9.0,"Very nice hotel set in comfortable grounds where one can walk outdoors. Hotel room was clean and comfortable. Staff were amazing! Duty manager Urmila was exceptionally - she made us feel as though we were visiting friends rather than staying in a hotel :) She was friendly, courteous and professional - as were all the staff we interacted with. Food in the in-house restaurant was also good. Would definitely stay here again.",positif
"Four Points by Sheraton New Delhi, Airport Highway",9.0,"Myself and my wife stayed at your excellent hotel for one night (24th-25th April).
Our stay was very pleasant, the room and bathroom were clean and smelled fresh.
We had dined at your inhouse restaurant in the evening, (al la carte) the food was exceptional both the veg and non veg.
The waiter ( name I cannot recall) was really good as he went out of his way to serve and answer questions my wife was asking him regarding the menu.
(what he could not answer he went and confirmed with the head chef). 
Next day we had an early morning flight to catch, after checking out we faced difficulties with the arranged taxi, your reception staff
(Mr Himanshu, Mr Vinod and Mr Mayur) were very helpful in assisting us with our transport and calming us with refreshment while we waited.  
Before booking the reservations at your hotel we had already made provisional booking for a hotel at AeroCity, (that being closer to the airport)
After staying at Four Points Sheraton, we WILL be highly recommending all our friends and family to stay here as your staff are your BEST asset.
Looking forward to our next visit to India.",positif
Iconic Stays Near Ganga Ram Hospital,9.0,Very hygienic and good location,positif
Iconic Stays Near Ganga Ram Hospital,9.0,Wonderful property.,positif
Iconic Stays Near Ganga Ram Hospital,9.0,Very nice property,positif
Iconic Stays Near Ganga Ram Hospital,2.0,Dirty bathroom and rooms .They didn’t even kept a  dustbin in the room,negatif
Iconic Stays Near Ganga Ram Hospital,1.0," · This is the worst hotel experience I ever had. I got booking confirmation and when I reached the place in the middle of the night with a child they said where is no room for me. They lied, trying to pretend this is not the place where I have booking, but where is definitely no any other iconic. Anyway heavy alcohol smell and dirt was there. Doesn’t match pictures. Horrible stuff",negatif
Iconic Stays Near Ganga Ram Hospital,1.0,Nothing,netral
Iconic Stays Near Ganga Ram Hospital,1.0,"Online photos did not match the actual rooms . The toilets were dirty with paan stairs all over, staff was also non cooperative.",negatif
Iconic Stays Near Ganga Ram Hospital,8.0, no comments available for this review,positif
Iconic Stays Near Ganga Ram Hospital,9.0, no comments available for this review,positif
Iconic Stays Near Ganga Ram Hospital,8.0, no comments available for this review,positif
Hotel Krone Plaza Near Delhi Airport,10.0,Good rooms great and polite Staff.close to the airport,positif
Hotel Krone Plaza Near Delhi Airport,9.0," · The location of the property is ideal, being close to the airport and the airport metro. The rooms were comfortable and so were the amenities provided.",positif
Hotel Krone Plaza Near Delhi Airport,8.0," · · The rooms were clean, very comfortable, and the staff was amazing. They went over and beyond to help make my stay enjoyable. I highly recommend this hotel for anyone visiting Delhi  mahipalpur 
near to igi  airpot",positif
Hotel Krone Plaza Near Delhi Airport,8.0," · The hotel was nice and clean. It is located very near the centre. The staff was very friendly and helped us with everything we need it, like car booking, providing information about our trip and making food for us before our departure. Big thank you from us.",positif
Hotel Krone Plaza Near Delhi Airport,9.0,"Rooms are very nice here. The most important thing which i liked here is food and service, staff is very professional and helpful.",positif
Hotel Krone Plaza Near Delhi Airport,9.0, · Everything is available nearby. So location is a plus point. We liked the room which were clean and hygiene with working ac and tv. & Wi-Fi . Overall we like the stay and service,positif
Hotel Krone Plaza Near Delhi Airport,9.0," · Great experience of  in a safe location
 
 ·The location is very nice in the area city. There is a small shopping street nearby. Which you can visit at the night. It’s pretty safe. The workers me organizing a guide, a taxi and everything for a good price! It was great experience",positif
Hotel Krone Plaza Near Delhi Airport,9.0, · Stayed here with my friends for a vacation. It was an amazing experience to stay at the hotel and explore the places. The location of the hotel helped me commute to the places without any problems. I traveled with ease and enjoyed my time here. Hotel staff was very courteous and cooperative with things. Food was also amazing. I Will Recomend this hotel.,positif
Hotel Krone Plaza Near Delhi Airport,9.0," · Value for Money
 
 The room was neat and tidy. It totally met my expectations for a comfortable stay after a long tour. The hotel staff was very friendly and cooperative. Especially receptionist Roshan  helped in making arrangements up to the mark. It's hardly 2km from Delhi Aerocity metro station easing connectivity to Delhi as well. I didn't opt for breakfast in package but their masala omelette was good. The overall stay was pleasant and relaxing. A perfect hotel near IGI airport.",positif
Hotel Krone Plaza Near Delhi Airport,3.0,"The kitchen was able to accommodate my needs - I have many intolerances and they made a safe meal for me when I asked. 
The staff was able to move us into a better room and find ways to fix what was broken (not everything, but they were trying).",positif
Hotel International Inn - Near Delhi Airport,10.0,very good i really enjoyed my stay here thanku mahesh we definitely come here again,positif
Hotel International Inn - Near Delhi Airport,7.0,"The reception faces the main road and is as shown on your booking.com page. After checking in, I was taken thru a back door, into a passage, with a lot of mysterious twists and turns, finally entering another building !!
I was asked to make the payment there at that counter. This counter was of another hotel (Classic, I think) and that opened into the alley behind Hotel International Inn. 
So to that extent I felt cheated. 
The interiors were shoddy. The room was spacious, but with old furniture, TV...slow Wi-Fi. The only thing is favour was the room was clean.
And the food was frightfully expensive!! absolutely 3-4 star rates.",negatif
Hotel International Inn - Near Delhi Airport,7.0,They were not initially complying to the terms  of booking.,netral
Hotel International Inn - Near Delhi Airport,9.0,"Very neat clean and spacious hotel..... The hotel is at main road, at a location visible from all around. Nice entrance, rooms were very good. The manager and the staff was helpful. Nice Cozy place, in house restaurant Good Food.",positif
Hotel International Inn - Near Delhi Airport,9.0,Nice experience while short stay. The rooms are good and price are reasonable r its ok because the rooms are well maintained. Behaviour of the staff is quite nice.,positif
Hotel International Inn - Near Delhi Airport,9.0,"The rooms are spacious and have nice finish. Overall Neat & Clean property and Clean Amenities like linen, towels etc.
Food is good. Good for overnight stay.",positif
Hotel International Inn - Near Delhi Airport,7.0,The location and food were very good. The hotel was clean.,positif
Hotel International Inn - Near Delhi Airport,9.0,"The Location is Excellent: Very near to the airport. Taxis are easily available (I tried at 3.45AM).
I requested front desk for a quiet room and I was provided room on ground floor, which was clean and quiet at night. The AC was working well and hot water was available too. The washroom was clean too. 
Had a good sleep, as had to catch an early morning flight. 
Recommend this property to the travelers seeking a short stay for flights.
The only negative is that the Airtel signals were very poor in the room and had to go out for a call. But, maybe the other networks work well.",positif
Hotel International Inn - Near Delhi Airport,8.0,"The room is Good, the breakfast and the location is excellent",positif
Hotel International Inn - Near Delhi Airport,8.0,Location was great.,positif
"Hotel R DELUXE ""Couple Friendly Vaccinated Staff""",10.0,Very comfortable and clean hotel,positif
"Hotel R DELUXE ""Couple Friendly Vaccinated Staff""",5.0,"Wi-fi was good , staff was friendly",positif
"Hotel R DELUXE ""Couple Friendly Vaccinated Staff""",6.0,Old type furniture,positif
"Hotel R DELUXE ""Couple Friendly Vaccinated Staff""",7.0,Location,netral
"Hotel R DELUXE ""Couple Friendly Vaccinated Staff""",6.0,They made some concessions for us.,netral
"Ambassador, New Delhi - IHCL SeleQtions",10.0,location. spacious excellent food good staff,positif
"Ambassador, New Delhi - IHCL SeleQtions",7.0,"i liked them. but, i was upset because not agreeing to my request of early check in. had to wait for two hours in a friends place. embarrassing",positif
"Ambassador, New Delhi - IHCL SeleQtions",8.0,Location,netral
"Ambassador, New Delhi - IHCL SeleQtions",7.0,Nice room and good bed.,positif
"Ambassador, New Delhi - IHCL SeleQtions",8.0,Great location and lovely art deco style hotel,positif
"Ambassador, New Delhi - IHCL SeleQtions",7.0,"Wonderful ambience, very polite staff
Breakfast is absolutely amazing, as good as a lunch buffet. Location is superb, Swimming trip to taj included.",positif
"Ambassador, New Delhi - IHCL SeleQtions",8.0,Location is very convenient. Food and service was excellent. Room was clean and spacious. The responsiveness was remarkable.,positif
"Ambassador, New Delhi - IHCL SeleQtions",8.0,"Location 
Staff",netral
"Ambassador, New Delhi - IHCL SeleQtions",9.0,"Comfortable, clean, spacious rooms. Excellent service provided by the staff. Good location right next to Khan Market.",positif
"Ambassador, New Delhi - IHCL SeleQtions",8.0,Overall value for money and situated in the heart of city,netral
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,9.0,Location was good. Staffs were good.,positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,9.0,"The cleanliness and Staff behavior during check in and out, and they upgrade my room to Superior Deluxe room to Family suites as complimentary which is really wonderful.",positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,10.0,The room was comfortable and staff was so kind!!,positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,9.0,Everything was good. Clean towels and bed sheets. Ac is good.,positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,9.0,"The managers and staff friendly 
The Room is perfect 
The food is great 
Location is good",positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,8.0,"Friendly and helpful staff , Room size was good and clean room Hotel and bathroom, Nice Hotel for family",positif
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,9.0,Good place to stay incase you want to for visa purpose  staff is very helpful and always ready to accommodate your reque,positif
